member_id,og_id,name,party,house,startDate,endDate
0,4855,Sarah Atherton,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
1,3758,Lord Turnbull,Crossbench,2.0,2005-10-11T00:00:00,
2,1211,Mr Andrew Mitchell,Conservative,1.0,1987-06-11T00:00:00,2015-03-30T00:00:00
3,1211,Mr Andrew Mitchell,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
4,1211,Mr Andrew Mitchell,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
5,1211,Mr Andrew Mitchell,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
6,4310,Lord Palumbo of Southwark,Liberal Democrat,2.0,2013-10-02T00:00:00,
7,4151,Mr Phil Willis,Liberal Democrat,1.0,1997-05-01T00:00:00,
8,4151,Mr Phil Willis,Liberal Democrat,1.0,2010-06-18T00:00:00,
9,4810,Rob Roberts,Independent,1.0,2021-05-25T00:00:00,2024-05-30T00:00:00
10,4810,Rob Roberts,Conservative,1.0,2019-12-12T00:00:00,2021-05-25T00:00:00
11,328,Margaret Beckett,Labour,1.0,1974-10-10T00:00:00,2015-03-30T00:00:00
12,328,Margaret Beckett,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
13,328,Margaret Beckett,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
14,328,Margaret Beckett,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
15,4834,Katherine Fletcher,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
16,69,Mr Oliver Heald,Conservative,1.0,1992-04-09T00:00:00,2015-03-30T00:00:00
17,69,Mr Oliver Heald,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
18,69,Mr Oliver Heald,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
19,69,Mr Oliver Heald,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
20,4569,Jim McMahon,Labour,1.0,2015-12-03T00:00:00,2017-05-03T00:00:00
21,4569,Jim McMahon,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
22,4569,Jim McMahon,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
23,4750,Jane Stevenson,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
24,4779,Taiwo Owatemi,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
25,993,David Howell,Conservative,1.0,1997-06-06T00:00:00,
26,993,David Howell,Conservative,1.0,1966-03-31T00:00:00,1997-05-01T00:00:00
27,4142,Guy Opperman,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
28,4142,Guy Opperman,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
29,4142,Guy Opperman,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
30,4142,Guy Opperman,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
31,4297,Baroness Jones of Moulsecoomb,Green Party,2.0,2013-09-20T00:00:00,
32,4459,Flick Drummond,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
33,4459,Flick Drummond,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
34,4091,Robin Walker,Conservative,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
35,4091,Robin Walker,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
36,4091,Robin Walker,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
37,4091,Robin Walker,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
38,1482,Mr Graham Stuart,Conservative,1.0,2005-05-05T00:00:00,2015-03-30T00:00:00
39,1482,Mr Graham Stuart,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
